O0,O1,O2,O3,Os,Ofast,Optimizers,Parameters
3842121.642,2728741.058,2607359.401,2572876.68,2640942.04,2501690.529,2420098.285,1421473.599
3805221.581,2712991.477,2612665.127,2593203.867,2630471.589,2473731.504,2444527.898,1379745.984
3812231.594,2687345.566,2601471.771,2613128.963,2630310.675,2557143.679,2414159.441,1381662.237
3800983.016,2701571.203,2601028.102,2597270.025,2629093.383,2489450.109,2477081.537,1395059.886
3781270.123,2723897.498,2619307.233,2576371.072,2638585.217,2475715.87,2409654.646,1385430.999
3761402.833,2714372.366,2601107.62,2588995.432,2641107.103,2485963.588,2421892.676,1391099.501
3784040.056,2702774.613,2624288.148,2593252.795,2635322.098,2489622.676,2430143.406,1382735.214
3810822.058,2698791.556,2599610.733,2597472.41,2633498.513,2494460.269,2421419.908,1381040.455
3786040.315,2709393.052,2607158.647,2600859.038,2646441.434,2479616.198,2414989.608,1377761.219
3797051.298,2695693.833,2606228.569,2589594.609,2607275.786,2491199.106,2432066.901,1384960.51
3769295.418,2700258.328,2605833.006,2625815.558,2655868.997,2484098.618,2420840.609,1395710.576
3816382.814,2704973.899,2598917.637,2596710.519,2618596.795,2489370.651,2426266.579,1380458.405
3782648.168,2686369.93,2610389.091,2584707.001,2615881.83,2515494.021,2418211.699,1392635.59
3802438.714,2719655.287,2626036.462,2605429.707,2616886.539,2489776.027,2438214.953,1390110.695
3786797.338,2702266.986,2600779.305,2608126.332,2615400.152,2486335.291,2429081.363,1393169.514
3787619.693,2717401.367,2624017.388,2580474.147,2632631.287,2486938.682,2427675.319,1396756.868
3804997.169,2710672.648,2613888.061,2611162.56,2627908.381,2485243.231,2421583.912,1388743.59
3788791.34,2695204.976,2605934.436,2596900.636,2614915.658,2482930.85,2428575.946,1387036.346
3827092.482,2695261.449,2615510.022,2602588.902,2610878.707,2487279.701,2418284.065,1392057.732
3788288.44,2689255.036,2598634.741,2592785.298,2644755.117,2490109.51,2412733.014,1385508.117
3792990.497,2713841.482,2623743.683,2589991.89,2620940.37,2474419.804,2437323.009,1382034.11
3792449.812,2692561.725,2608983.919,2608262.099,2631655.158,2529748.918,2430877.161,1403568.268
3801948.231,2757941.058,2628406.381,2609323.039,2640655.971,2480133.525,2417416.009,1386817.209
3826304.751,2694369.539,2607962.731,2590357.922,2649654.08,2478842.705,2422883.486,1392561.46
3785694.708,2689890.667,2625263.486,2593481.096,2637677.517,2485816.751,2429428.781,1383870.056
3820062.448,2707968.368,2608023.747,2607717.389,2615670.334,2476366.286,2417313.657,1385760.503
3795057.032,2710640.784,2624438.39,2586027.143,2631961.828,2476853.395,2440417.701,1378881.287
3770703.955,2724777.868,2610043.429,2582561.238,2609771.178,2468137.02,2426013.466,1398733.146
3791164.579,2711437.655,2600242.25,2602808.211,2629856.913,2537530.703,2435623.815,1378892.19
3771439.688,2716104.065,2624182.194,2595180.803,2637858.331,2456183.013,2444252.007,1380218.385
3819483.576,2698691.763,2613582.254,2586931.024,2649343.164,2499894.939,2413196.462,1388549.311
3795626.934,2695196.945,2605886.782,2603564.776,2629742.986,2483968.731,2435723.77,1393291.796
3821932.274,2692646.135,2627592.038,2622151.48,2647083.277,2453972.482,2412691.456,1397766.581
3791832.671,2699399.868,2634798.602,2597439.337,2626375.216,2484876.724,2406471.886,1386497.114
3792203.91,2692137.16,2611284.868,2597337.786,2644112.295,2496339.516,2431779.035,1385462.028
3811667.193,2710600.332,2618162.574,2600257.626,2633387.92,2535571.297,2407177.328,1378090.057
3789241.612,2684619.581,2625064.823,2594330.642,2646141.855,2472785.479,2441890.806,1383185.412
3808668.572,2710857.993,2603891.712,2600761.933,2681711.303,2509146.18,2408204.103,1394654.684
3810458.92,2691187.387,2617280.42,2605331.52,2619914.225,2487821.064,2496594.87,1385401.636
4038282.139,2707009.896,2610924.088,2578563.587,2623649.062,2468593.395,2426002.71,1393936.898
3771036.643,2701988.124,2617979.228,2574304.382,2646058.857,2471162.041,2411510.22,1397067.726
3767453.516,2689612.106,2620925.034,2590718.996,2616544.045,2484655.506,2429205.701,1381731.416
3802273.344,2960643.654,2625972.6,2609503.669,2637219.321,2475670.101,2423490.425,1391678.625
3820314.817,2696557.348,2609876.256,2591765.435,2614704.848,2474254.961,2437613.935,1381798.021
3833475.132,2704389.429,2608639.4,2581518.531,2642750.915,2496990.953,2406994.706,1382850.231
3793350.98,2720825.897,2634792.039,2573753.104,2614945.496,2472721.347,2417323.976,1384490.928
3804369.427,2688722.334,2615663.55,2613291.828,2613571.084,2490522.725,2407687.044,1381542.205
3780534.862,2713188.325,2603401.588,2592012.269,2638816.756,2515292.803,2401548.57,1384193.08
3804382.162,2700432.786,2613723.755,2607107.897,2616345.156,2474463.321,2426738.924,1387826.776
3766786.6,2699263.46,2621714.444,2571558.386,2633458.427,2491180.106,2411263.173,1383093.79
