O0,O1,O2,O3,Os,Ofast,Optimizers,Parameters
3744804.317,2668988.157,2614905.667,2559822.229,2589817.489,2449002.309,2491777.4,1362872.498
3708169.183,2664536.75,2581414.966,2585619.215,2630788.036,2486472.926,2461725.024,1363060.389
3729998.176,2676065.372,2597739.371,2559866.831,2594805.76,2451538.189,2450643.064,1378425.444
3742538.29,2703594.392,2581705.632,2558202.283,2624895.491,2456326.007,2466827.392,1365877.55
3785835.875,2664717.78,2613768.487,2554742.372,2589956.183,2476089.218,2458610.562,1383347.29
3740745.423,2675198.926,2578622.194,2585238.986,2598297.873,2455763.659,2452734.618,1361440.742
3778282.047,2666948.881,2578524.358,2550983.828,2592121.763,2456019.462,2449397.941,1382970.066
3724390.288,2670314.407,2614492.602,2596205.58,2614639.061,2476373.406,2455138.516,1370087.277
3791354.092,2672226.071,2579594.907,2562944.183,2593147.771,2460759.284,2457055.373,1379475.836
3733443.854,2660599.81,2612337.558,2553669.933,2641610.797,2498748.526,2490352.743,1386055.78
3734283.25,2672195.714,2586795.535,2557566.237,2593855.806,2462452.826,2485367.686,1368469.473
3740048.275,2710883.057,2585168.2,2555672.405,2583616.641,2444491.003,2459204.036,1361561.712
3775444.152,2704874.891,2581544.642,2604737.521,2626772.929,2491709.271,2493869.221,1594820.799
3740797.287,2673110.953,2588061.226,2551403.791,2590697.594,2453542.734,2456612.844,1405909.647
3776879.921,2656317.019,2618890.055,2600522.092,2591120.537,2453456.148,2451606.018,1384682.704
3778572.658,2663920.814,2608263.129,2560176.046,2594450.864,2450047.124,2448989.272,1412613.003
3728969.376,2671081.628,2574582.654,2597411.402,2598260.597,2498266.437,2447226.882,1397917.819
3735329.409,2663848.908,2583517.731,2552866.232,2645473.195,2445033.912,2449094.981,1388953.23
3789495.806,2667393.928,2580115.954,2555236.449,2592499.977,2455849.865,2612624.432,1373462.371
3739026.469,2669443.197,2584135.049,2597568.982,2600046.4,2486054.751,2473544.418,1416116.742
3785399.374,2661281.679,2588825.34,2555154.699,2595266.741,2467553.966,2450101.48,1390747.718
3735151.508,2695759.318,2589445.958,2557081.031,2638988.137,2459909.923,2457063.143,1376467.867
3782427.583,2689155.51,2600837.795,2593982.126,2589743.356,2483561.783,2486016.39,1386970.57
3738662.089,2659198.391,2580631.177,2561824.607,2628740.644,2454429.421,2452149.376,1392139.513
3739915.934,2667599.889,2630283.572,2603890.188,2618887.884,2497531.068,2454071.774,1392252.149
3898468.228,2669883.266,2612074.476,2582633.952,2597158.722,2501644.01,2480852.925,1420030.382
3733821.093,2665450.536,2578282.212,2560896.324,2626093.908,2453162.498,2460183.057,1399631.694
3802630.827,2667799.42,2589420.812,2601798.72,2593714.878,2477929.099,2497754.593,1400615.061
3734797.166,2661119.0,2569143.441,2573185.882,2592223.793,2455267.14,2449763.478,1518914.638
3742385.616,2664745.498,2582176.973,2557554.584,2597960.256,2456283.95,2449356.234,1379131.098
3733950.5,2664344.928,2579247.391,2561777.049,2599687.685,2458765.07,2452221.182,1432873.155
3783064.713,2661825.173,2578837.591,2564098.201,2795852.08,2457735.225,2508496.99,1389788.412
3730726.491,2668102.516,2579882.319,2603325.272,2592781.191,2451831.43,2455579.147,1432025.482
3736342.398,2642395.066,2571443.738,2594750.509,2632012.737,2450832.814,2452795.832,1433023.388
3711614.626,2672101.735,2575142.153,2558240.863,2626957.469,2450221.972,2451988.426,1374952.106
3726708.842,2694900.671,2577500.899,2590822.042,2590693.754,2494557.79,2452465.083,1425205.396
3771793.499,2667462.75,2577892.793,2559796.357,2600117.885,2456723.417,2446038.914,1418264.311
3801981.767,2707471.741,2579778.271,2556339.954,2625752.815,2482855.173,2457930.315,1373875.454
3738856.861,2706872.046,2586033.107,2556296.61,2591837.995,2459517.509,2443400.967,1390381.249
3740167.687,2661380.477,2577159.457,2592440.819,2596811.61,2454717.414,2452866.017,1370380.622
3743020.334,2670484.323,2578663.277,2555229.26,2588702.916,2446584.994,2483215.051,1369448.647
3734411.712,2698487.538,2590737.925,2562291.715,2636992.289,2458286.62,2450197.769,1381848.332
3740528.745,2720447.986,2581662.205,2552920.638,2591613.402,2456862.18,2445624.182,1424808.875
3732238.113,2672917.887,2620504.516,2554261.879,2597818.581,2479275.361,2448478.193,1436896.718
3732134.906,2667974.132,2611812.655,2558862.137,2635167.527,2451093.859,2454314.463,1435754.218
3736032.879,2703128.498,2602254.238,2554366.444,2630473.467,2485597.545,2453106.566,1377267.959
3784022.685,2704881.097,2585460.668,2551046.669,2593637.909,2500222.97,2503332.584,1390674.917
3747591.948,2708614.742,2589501.621,2549618.848,2633774.765,2452498.971,2454793.559,1375807.42
3736797.847,2694278.503,2613751.998,2570318.762,2595747.455,2472551.023,2455484.866,1370796.208
3782400.785,2706473.915,2577775.2,2591331.214,2594248.408,2458409.33,2450890.467,1375696.832
3737577.449,2675323.655,2608774.055,2560378.18,2600782.918,2491099.692,2446484.167,1390299.204
3770906.592,2706660.574,2576531.711,2599950.617,2598010.903,2453778.871,2450025.999,1372652.812
3744978.014,2661218.979,2588658.993,2556772.289,2623703.394,2477338.163,2459853.508,1403621.378
3786138.638,2663749.972,2576546.257,2587842.771,2636782.149,2452370.798,2477622.932,1387513.033
3735478.17,2673664.987,2585613.43,2560268.225,2596739.031,2495462.96,2508894.328,1366432.846
3729681.464,2663944.602,2626459.23,2592599.677,2594180.549,2453315.062,2450548.318,1376683.171
3735210.406,2662847.984,2570219.215,2590239.433,2597091.249,2478732.883,2504080.58,1370433.834
3739728.854,2660520.382,2634695.216,2552574.278,2588239.835,2489856.034,2448192.397,1369488.285
3740958.926,2704927.718,2629792.838,2563283.077,2633840.547,2446673.383,2481685.347,1365556.792
3743642.993,2664474.194,2577443.853,2593620.195,2623065.197,2488209.865,2452963.791,1424658.453
3738951.994,2664301.303,2598887.732,2557706.017,2634802.88,2470883.767,2491461.381,1394604.595
3730939.908,2702203.587,2630442.397,2551413.525,2597462.256,2454041.759,2481394.302,1370296.767
3737499.803,2674027.803,2589517.557,2583218.642,2616391.043,2456455.409,2454724.266,1393363.812
3736295.168,2667549.351,2589878.936,2557317.937,2596223.547,2460967.614,2457912.491,1373918.227
3729104.691,2667975.37,2577016.011,2558619.256,2631550.269,2473967.261,2462281.881,1388920.23
3735452.383,2708606.751,2583613.815,2562115.894,2616463.07,2452809.887,2455206.91,1401802.7
3774183.879,2710255.434,2625599.717,2555608.692,2585923.315,2486518.68,2458073.611,1382863.852
3786394.082,2662538.71,2581396.713,2613984.757,2599827.892,2448067.562,2481123.537,1365715.94
3735159.127,2671977.704,2577855.236,2557972.311,2587969.845,2455606.906,2474011.897,1368731.637
3791045.56,2663731.074,2575873.567,2591252.214,2598441.048,2475023.862,2453459.49,1429527.9
3735505.858,2662152.321,2587654.054,2561742.277,2631125.301,2457039.948,2489415.707,1395776.372
3742554.486,2659362.939,2592419.567,2583813.534,2586875.977,2475945.424,2510631.355,1492815.908
3774218.623,2668598.92,2584220.053,2557307.5,2646525.192,2447236.508,2463072.319,1385723.43
3723147.009,2692626.038,2587034.552,2594065.27,2626567.297,2454229.145,2449582.643,1422244.528
3793396.16,2661000.374,2610937.362,2557696.774,2603004.466,2465747.512,2485038.499,1377598.575
3748101.083,2661707.397,2586116.135,2584113.195,2592211.16,2460939.343,2458549.082,1409904.277
3737670.091,2674254.414,2624303.985,2590108.961,2601787.491,2456357.047,2454285.5,1384131.322
3732564.062,2660377.905,2579936.614,2556236.677,2627449.164,2483173.186,2455658.783,1391405.939
3722754.123,2705045.052,2629595.539,2592286.175,2596741.524,2463310.144,2451365.247,1405969.586
3732699.395,2668095.269,2582104.336,2554567.32,2623458.434,2500060.227,2478463.293,1417281.383
3737173.145,2710178.109,2616188.188,2559426.371,2595781.976,2452350.347,2448687.624,1406067.327
3760396.04,2659666.241,2585873.546,2570201.055,2594813.228,2455489.58,2449103.26,1375347.43
3732662.272,2703607.423,2629774.389,2550338.982,2593655.472,2490096.301,2477968.367,1396652.48
3789366.624,2673371.608,2624948.292,2585329.114,2595510.749,2447606.753,2475423.636,1374770.38
3784676.295,2659736.499,2572926.736,2551117.736,2599518.575,2456774.847,2479398.899,1396111.773
3735013.318,2710417.926,2604539.137,2555509.281,2633045.386,2485900.795,2456427.74,1380870.482
3788767.544,2661290.523,2579298.937,2590575.51,2596257.739,2454785.363,2470748.757,1402034.396
