O0,O1,O2,O3,Os,Ofast,Optimizers,Parameters
3730187.152,2654010.395,2576394.235,2559541.942,2588125.269,2464101.517,2386670.534,1361951.577
3735298.864,2661544.043,2579763.503,2561710.362,2580598.667,2455210.091,2386207.485,1365351.489
3734424.94,2677391.81,2576365.32,2559088.088,2589211.402,2454987.504,2389968.895,1362381.389
3736791.981,2659871.811,2581867.081,2557003.376,2588527.203,2452506.538,2390303.967,1360645.148
3743856.863,2664462.828,2597345.867,2560015.465,2588353.312,2457824.019,2385503.999,1360236.046
3782670.043,2658214.63,2583832.046,2554274.992,2590660.158,2460732.891,2400978.297,1352339.885
3737915.011,2664597.478,2574947.378,2558304.986,2595500.502,2457281.001,2383773.855,1365291.038
3738468.173,2661045.808,2590908.877,2555784.407,2581311.421,2462088.179,2385362.007,1360236.51
3744618.624,2661669.305,2592228.053,2551866.307,2580044.073,2452535.431,2392466.468,1364351.57
3743311.954,2671414.759,2585067.392,2551383.347,2588436.747,2455949.421,2387444.407,1363850.335
3735618.615,2663223.501,2583733.619,2558700.375,2589070.721,2482076.731,2384139.317,1367758.508
3730447.745,2666665.716,2581607.861,2557840.088,2598216.782,2454176.309,2381066.505,1362322.777
3733264.038,2662940.185,2580158.587,2551101.52,2586312.998,2457384.078,2384110.09,1358398.904
3748507.847,2668682.934,2586973.677,2562699.683,2592455.915,2454459.41,2383424.494,1363289.943
3741955.268,2655003.072,2580015.653,2558171.18,2584339.7,2449808.377,2406183.231,1360151.096
3742445.334,2669281.987,2580292.64,2558967.482,2576195.949,2471778.371,2377427.466,1363762.317
3741805.721,2667639.045,2579476.859,2558987.424,2582402.116,2453592.313,2409122.066,1372715.852
3736531.199,2662050.461,2583936.052,2550896.875,2585437.715,2457185.297,2390257.667,1364689.104
3734422.401,2683929.201,2578416.769,2562751.64,2595877.062,2461927.518,2387044.941,1364598.55
3743749.427,2661747.386,2588945.292,2717234.943,2588932.815,2451746.803,2385604.996,1364851.226
3735681.047,2662204.473,2597516.048,2558034.309,2591341.989,2452214.931,2389398.265,1362180.844
3743170.421,2672612.886,2590164.821,2557470.564,2592798.897,2450641.19,2394677.496,1359082.99
3729343.472,2666926.58,2577771.477,2564477.207,2589014.816,2455563.911,2388329.015,1361579.731
3741047.562,2665029.715,2584497.645,2557453.868,2588279.853,2458785.28,2394844.657,1361566.821
3728071.38,2661165.635,2583348.875,2559036.794,2608267.381,2460492.319,2380534.553,1367850.216
3742419.541,2665500.458,2576964.634,2555814.313,2584454.784,2461425.306,2387378.813,1360500.583
3729958.01,2669432.82,2583222.537,2572325.683,2587495.16,2454202.507,2386936.205,1363289.063
3739625.671,2663556.639,2582145.905,2561948.755,2588610.409,2447575.442,2377303.433,1356810.628
3767125.612,2673035.937,2595374.022,2564623.896,2590157.13,2464362.461,2380816.412,1361072.567
3751639.315,2666793.618,2588870.435,2554651.392,2593948.553,2460792.34,2388390.778,1359448.802
3734169.567,2668879.834,2584784.042,2562442.275,2593692.306,2450170.025,2384354.009,1360028.239
3741286.271,2661464.723,2591625.18,2566520.029,2591029.874,2460434.304,2380460.036,1365429.831
3729350.465,2656746.573,2589756.934,2555093.307,2589344.853,2449238.194,2423533.732,1361174.959
3739174.398,2663783.023,2586879.045,2560742.717,2589118.552,2455339.007,2391901.167,1365293.81
3744865.532,2663671.134,2576490.679,2556923.62,2590733.972,2856473.672,2385117.616,1359082.677
