O0,O1,O2,O3,Os,Ofast,Optimizers,Parameters
3734721.253,2659707.585,2604183.547,2575222.121,2583301.531,2488915.704,2407102.329,1351686.34
3733898.919,2656240.094,2579273.215,2555118.41,2610809.494,2451757.476,2405458.427,1355442.968
3734855.442,2684934.968,2618695.073,2558489.397,2618576.832,2484295.599,2437083.394,1339507.4
3741906.921,2687222.283,2598817.469,2564503.86,2609703.664,2454987.811,2404997.404,1338849.492
3781427.821,2672384.984,2580592.438,2561572.78,2582926.146,2452818.99,2429335.966,1337702.399
3738309.182,2701910.398,2584018.25,2577842.841,2585496.66,2458982.393,2403382.523,1340622.377
3730016.608,2667524.693,2585812.953,2550898.658,2582232.217,2451716.804,2436367.051,1340432.906
3770922.48,2663396.107,2620473.279,2557886.911,2613613.508,2464704.849,2445981.36,1353969.53
3738802.846,2689539.157,2619584.201,2549841.834,2610412.682,2456413.111,2416636.965,1343002.5
3732720.349,2660821.426,2587687.505,2561152.519,2576363.764,2450729.406,2437537.313,1356489.322
3727182.027,2692242.179,2582201.443,2551362.844,2588491.297,2477597.348,2416856.326,1337884.952
3734556.475,2692049.587,2594886.427,2554017.905,2610390.437,2470996.542,2438839.265,1354111.255
3781988.507,2654156.381,2578476.899,2567965.074,2626177.355,2526860.342,2426944.361,1335923.331
3741566.664,2691488.766,2585720.068,2562155.951,2586379.072,2453975.122,2430454.218,1345669.551
3773117.073,2661648.108,2576209.267,2583462.977,2606189.897,2455089.584,2438522.089,1339732.943
3737589.862,2679368.835,2846419.519,2554718.365,2581941.363,2537231.888,2407867.093,1339819.652
3731097.592,2642682.483,2585514.485,2559165.091,2586210.652,2479609.348,2437018.997,1339410.529
3731121.934,2674502.394,2578608.505,2555845.607,2619626.219,2454395.35,2431853.432,1334616.854
3775682.659,2665188.9,2583685.469,2561852.159,2583303.099,2481060.236,2434358.179,1338213.94
3717635.118,2662115.271,2602786.196,2554603.304,2625931.276,2496726.598,2434693.837,1359670.432
3792503.287,2684409.622,2586488.66,2554885.461,2590006.838,2463204.434,2408933.363,1338763.444
3782597.303,2663382.349,2615707.286,2560743.019,2628688.568,2500346.79,2412519.232,1347166.516
3770370.49,2674558.248,2585991.001,2558795.446,2618026.151,2485588.892,2404962.727,1341071.337
3738145.561,2664618.158,2583895.551,2554272.73,2587942.204,2458202.324,2409387.467,1340218.401
3718694.199,2700349.468,2582468.281,2557873.462,2587506.484,2456710.6,2409634.313,1355970.528
3744666.401,2681433.148,2580958.689,2552462.994,2617842.451,2479334.34,2435596.561,1341502.442
3780967.113,2699007.55,2585118.181,2580709.506,2588335.959,2494679.223,2404623.498,1342175.52
3732803.201,2657991.176,2581198.692,2561464.709,2614811.594,2453471.926,2436994.595,1337834.976
3739262.592,2687294.924,2611285.492,2576230.47,2577063.636,2511053.978,2406043.242,1340731.22
3733325.812,2656939.231,2614555.456,2587111.115,2591009.354,2461123.721,2431891.552,1338217.283
3728684.832,2686561.658,2582724.933,2558138.481,2613704.253,2453774.928,2402036.425,1336269.534
3749047.448,2662513.409,2587923.023,2587814.379,2617666.166,2483436.2,2417140.074,1339905.426
3776254.83,2658627.686,2584349.768,2552388.731,2589033.47,2451338.053,2427768.341,1356576.23
3754639.068,2686091.407,2600137.512,2579508.111,2583442.218,2453119.14,2409666.165,1338712.065
3821146.031,2660816.726,2612762.517,2559762.636,2588399.59,2485492.312,2425713.627,1349026.776
3739592.275,2694537.713,2614520.029,2589385.089,2592362.374,2450930.588,2442908.952,1346485.55
3733833.279,2681090.082,2579292.802,2579963.518,2580995.507,2485244.463,2422564.636,1339064.323
3729854.473,2676517.862,2608495.54,2556292.756,2623567.273,2460169.392,2407271.628,1339043.73
3772078.294,2659007.361,2618037.185,2589919.089,2587013.846,2456677.446,2404973.884,1348585.31
3803886.292,2664396.18,2588791.459,2590706.339,2584936.873,2450865.536,2423631.713,1339842.227
3712796.155,2689920.49,2579770.179,2556919.914,2580452.604,2477618.394,2401891.57,1352524.114
3789176.732,2660563.519,2604956.755,2584479.095,2626654.845,2452760.477,2415036.338,1337873.784
3737186.155,2693055.712,2570496.112,2585749.714,2586668.005,2474541.438,2417901.931,1347542.622
3724865.145,2678906.504,2608752.971,2562037.602,2589373.119,2451316.693,2429550.043,1335610.083
3741480.4,2663709.209,2578927.388,2555982.522,2583159.119,2446614.885,2412343.412,1337679.414
3727650.039,2696663.433,2605226.754,2555323.424,2589536.94,2453463.081,2411406.338,1353311.699
3728596.506,2659561.509,2588069.292,2559986.908,2584164.803,2450525.501,2407179.479,1343661.408
3742766.361,2691578.288,2599733.405,2562494.619,2585417.966,2447385.375,2406280.456,1350533.314
3734367.06,2670724.402,2577221.115,2587673.951,2602241.457,2456056.916,2420156.695,1340087.379
3729860.679,2699365.141,2578033.558,2560465.941,2611932.972,2456384.646,2407004.675,1343771.691
3729044.109,2668361.297,2603246.891,2564404.905,2619162.245,2465868.191,2433480.115,1358274.414
4203456.501,2661775.152,2588125.951,2588084.915,2592398.845,2449853.663,2421702.049,1335650.995
3740964.506,2701717.191,2578541.072,2557250.725,2585735.403,2474930.63,2410677.104,1338683.163
3771483.608,2697865.144,2611253.092,2585077.622,2590294.519,2460140.249,2426974.639,1346650.938
3736955.513,2661623.447,2580117.016,2561066.809,2597593.588,2453189.105,2413830.204,1337055.347
3787744.466,2627217.262,2606932.543,2582309.832,2593992.086,2454405.363,2432796.19,1337396.374
3725403.078,2657347.153,2577401.988,2556735.096,2619686.945,2464967.151,2417712.444,1350619.095
3780178.08,2705253.145,2571263.324,2556909.001,2592537.166,2454771.398,2405969.695,1337716.515
3729236.548,2667538.044,2605421.12,2551655.168,2607340.938,2482966.67,2434549.555,1338094.01
3763693.47,2681930.787,2576498.983,2612679.099,2584728.369,2457858.555,2398639.988,1347351.096
3731671.416,2665420.531,2582086.328,2569055.357,2583104.612,2477956.716,2407693.149,1336062.518
3737772.011,2690181.809,2592270.783,2554141.352,2586608.563,2449645.191,2433569.609,1339642.485
3735339.105,2657943.973,2580428.335,2583529.091,2612755.403,2471340.487,2439317.303,1338995.055
3794898.363,2663694.202,2614010.313,2562894.749,2585247.379,2457629.211,2407445.766,1354207.714
3761517.462,2659538.537,2586261.295,2559575.397,2578783.569,2449920.881,2432554.483,1353721.053
3739566.328,2660913.423,2585989.182,2583282.236,2622482.12,2542498.639,2402124.001,1340291.726
3773699.309,2666261.068,2576848.861,2584687.25,2619117.296,2455677.7,2430282.8,1359643.312
3738351.869,2667571.175,2610861.442,2574024.465,2590783.803,2454513.601,2407126.04,1339815.551
3773233.475,2662063.112,2614442.893,2561537.968,2593700.304,2489315.963,2431373.275,1357029.087
3731839.386,2653690.713,2575456.977,2556428.586,2589822.466,2474756.343,2404925.648,1336103.401
3774378.621,2667632.399,2612863.482,2583008.142,2588098.042,2456424.963,2425952.356,1338564.821
3743004.043,2668274.745,2609741.228,2553756.388,2615017.768,2484013.276,2402936.884,1335776.193
3762117.847,2755492.595,2614882.267,2559464.282,2610939.867,2459445.505,2443446.128,1344378.989
3729982.831,2696283.231,2584863.675,2552123.583,2582361.237,2464279.465,2410124.929,1349267.071
3734124.943,2711791.544,2617682.778,2552549.64,2584061.585,2456856.711,2417839.584,1337622.988
